Ort;Plz
Löptin;24250
Lorch;65391
Lorch;73547
Loreley;56346
Lörrach;79539
Lörrach;79540
Lörrach;79541
Lorsch;64653
Lorscheid;54317
Lorup;26901
Lörzweiler;55296
Losenrade;39615
Losheim;66679
Lositz-Jehmichen;7318
Lösnich;54492
Lossa;6647
Loßburg;72290
Losse;39615
Lößnitz;8294
Lostau;39291
Losten;23996
Lösten;1665
Lotenberg;73107
Lothra;7356
Lotte;49504
Lottengrün;8606
Lottorf;24878
Lottschesee;16348
Lottstetten;79807
Lötzbeuren;56843
Louisenberg;24340
Louisenhof;21493
Löwenberg;16775
Löwenbruch;14974
Löwenstedt;25864
Löwenstein;74245
Löwitz;17398
Löwitz;19217
Loxstedt;27612
Lübars;39291
Lübbecke;32312
Lübben;15907
Lübbenau;3222
Lübbendorf;19249
Lübberstedt;27729
Lübberstorf;23992
Lübbow;29488
Lübeck;23552
Lübeck;23554
Lübeck;23556
Lübeck;23558
Lübeck;23560
Lübeck;23562
Lübeck;23564
Lübeck;23566
Lübeck;23568
Lübeck;23569
Lübeck;23570
Lübesse;19077
Lüblow;19288
Lubmin;17509
Lübnitz;14806
Lubochow;3103
Lübow;23972
Lübs;17379
Lübs;39264
Lübschützer Teiche;4827
Lübstorf;19069
Lübtheen;19249
Lübz;19386
Lübzin-Rosenow;18249
Lübzow;19348
Lübzow Ausbau;19348
Lüchfeld;16845
Luchle;79875
Lüchow;23898
Lüchow;29439
Lüchtoft;24395
Lucka;4613
Luckau;15926
Luckau;29487
Luckenau;6727
Luckenbach;57629
Lückenburg;54424
Luckenwalde;14943
Luckow;17375
Luckow-Petershagen;16306
Lucksfleiß;14778
Lückstedt;39606
Luckwitz;19243
Lüdelsen;38489
Lüdendorf;14913
Lüdenscheid;58507
Lüdenscheid;58509
Lüdenscheid;58511
Lüdenscheid;58513
Lüdenscheid;58515
Lüder;29394
Lüderitz;39517
Lüdersburg;21379
Lüdersdorf;14943
Lüdersdorf;16248
Lüdersdorf;23923
Lüdersdorf;23992
Lüdersfeld;31702
Lüdershagen;18314
Lüdinghausen;59348
Ludorf;17207
Ludwigsau;36251
Ludwigsburg;17291
Ludwigsburg;71634
Ludwigsburg;71636
Ludwigsburg;71638
Ludwigsburg;71640
Ludwigsburg;71642
Ludwigschorgast;95364
Ludwigsfelde;14974
Ludwigshafen;67059
Ludwigshafen;67061
Ludwigshafen;67063
Ludwigshafen;67065
Ludwigshafen;67067
Ludwigshafen;67069
Ludwigshafen;67071
Ludwigshöhe;55278
Ludwigslust;19288
Ludwigsstadt;96337
Ludwigswinkel;66996
Lüerdissen;37635
Luftkurort Lückendorf;2797
Lug;3205
Lug;76848
Lug;83377
Lugau;3238
Lugau;9385
Lügde;32676
Luggendorf;16928
Lühburg;17179
Luhden;31711
Luhe-Wildenau;92706
Lühmannsdorf;17495
Luhme;16837
Lühnsdorf;14823
Luhnstedt;24816
Luhnvie;24816
Luhrbach;67466
Lühsdorf;14943
Luisenhof;99192
Luisenhof;99192
Luisenthal;99885
Luko;6869
Lülsfeld;97511
Lumpzig;4626
Lunden;25774
Lünebach;54597
Lüneburg;21335
Lüneburg;21337
Lüneburg;21339
Lüneburg;21391
Lünen;44532
Lünen;44534
Lünen;44536
Lunestedt;27616
Lüningshagen;18239
Lünne;48480
Lunow;16248
Lünow;14778
Lunzenau;9328
Lunzig;7980
Lupburg;92331
Lupendorf;17194
Luppenau;6254
Luppertsseifen, Gem Burscheid;54649
Lürschau;24850
Luschendorf;23689
Luschendorferhof;23689
Luso;39264
Lüsse;14806
Lüssow;17506
Lüssow;18276
Lüssow;18442
Lustadt;67363
Lütau;21483
Lütetsburg;26524
Lutheran;19386
Lutherstadt Eisleben;6295
Lutherstadt Wittenberg;6886
Lütjenburg;24321
Lütjenheide;19322
Lütjenholm;25842
Lütjensee;22952
Lütjenwestedt;25585
Lütow;17440
Lüttchendorf;6317
Lütte;14806
Lüttenhagen;17258
Lüttenmark;19258
Lutter;37318
Lutter;38729
Lutterbek;24235
Lutterstorf;23996
Lüttewitz b Döbeln;4720
Lüttgenrode;38835
Lüttholm;24891
Lüttow;19246
Lütz;56290
Lützelbach;64750
Lützelsoon;55606
Lützen;6686
Lutzerath;56826
Lutzhorn;25355
Lutzingen;89440
Lützkampen;54617
Lutzketal;3172
Lützlow;17291
Lützow;19209
Luxem;56729
Lychen;17279
Lykershausen;56346
Maasbüll;24975
Maasdorf;4924
Maasdorf;6388
Maasen;27249
Maasholm;24404
Machern;4827
Machern;54492
Machtemesmühle;54673
Macken;56290
Mackenbach;67686
Mackenrode;37318
Mackenrodt;55758
Madreut;83329
Magdala;99441
Magdeburg;39104
Magdeburg;39106
Magdeburg;39108
Magdeburg;39110
Magdeburg;39112
Magdeburg;39114
Magdeburg;39116
Magdeburg;39118
Magdeburg;39120
Magdeburg;39122
Magdeburg;39124
Magdeburg;39126
Magdeburg;39128
Magdeburg;39130
Magdeburgerforth;39291
Magstadt;71106
Mahdel;4916
Mahlberg;77972
Mahlenzien;14789
Mahlenzien;14789
Mahlitz;14715
Mahlow;15831
Mahlsdorf;14827
Mahlsdorf;29416
Mahlstetten;78601
Mahlwinkel;39517
Mahndorf;38822
Mähren;56459
Mähring;95695
Maierhof;88441
Maierhöfen;88167
Maiermund;56850
Maihingen;86747
Maihof;67317
Maikammer;67487
Mailham;83555
Mainaschaff;63814
Mainbernheim;97350
Mainburg;84048
Mainhardt;74535
Mainhausen;63533
Mainleus;95336
Mainstockheim;97320
Maintal;63477
Mainz;55116
Mainz;55118
Mainz;55120
Mainz;55122
Mainz;55124
Mainz;55126
Mainz;55127
Mainz;55128
Mainz;55129
Mainz;55130
Mainz;55131
Mainz-Kastel;55252
Mainz-Kastel;55252
Mainz-Kostheim;55246
Mainz-Kostheim;55246
Mairing;94501
Mais;83368
Mais;83552
Maisach;82216
Maisborn;56291
Maitenbeth;83558
Maitzborn;55481
Makenhof;71672
Makenhof;71672
Malberg;54655
Malberg;57629
Malbergweich;54655
Malborn;54426
Malchin;17139
Malching;82216
Malching;94094
Malchow;17213
Malente;23714
Malgersdorf;84333
Malitschkendorf;4936
Malk;19294
Malleichen;88167
Mallentin;23936
Mallersdorf-Pfaffenberg;84066
Mallin;17217
Malliß;19294
Mallnow;15326
Malsburg-Marzell;79429
Malsch;69254
Malsch;76316
Malschwitz;2694
Malse;27432
Malsfeld;34323
Malter;1744
Malterdingen;79364
Malterhausen;14913
Maltitz;4720
Malz;16515
Malzow;23923
Mamerow;18279
Mammelzen;57636
Mammendorf;82291
Mamming;94437
Manching;85077
Mandel;55595
Mandelbachtal;66399
Mandelshagen;18184
Mandern;54429
Manderscheid;54531
Manderscheid;54649
Manebach;98693
Mangelsdorf;39524
Manhagen;23738
Manker;16845
Mankmoos;19417
Mankmuß;19357
Mannebach;54441
Mannebach;56769
Mannhausen;39359
Mannheim;68159
Mannheim;68161
Mannheim;68163
Mannheim;68165
Mannheim;68167
Mannheim;68169
Mannheim;68199
Mannheim;68219
Mannheim;68229
Mannheim;68239
Mannheim;68259
Mannheim;68305
Mannheim;68307
Mannheim;68309
Mannstedt;99628
Mannweiler-Cölln;67822
Manschnow;15328
Mansfeld;6343
Mantel;92708
Manubach;55413
Marbach;64743
Marbach;71672
Marburg;35037
Marburg;35039
Marburg;35041
Marburg;35043
March;79232
Margarethenthal;19348
Margetshöchheim;97276
Marggraffshof;14532
Maria Laach;56653
Maria Martental;56759
Mariaposching;94553
Marienberg;9496
Marienborn;39365
Marieney;8626
Marienfeld;33428
Marienfels;56357
Mariengrund;7381
Marienhafe;26529
Marienhagen;31094
Marienhausen;56269
Marienheide;51709
Marienhof;19300
Marienhof;24399
Marienmünster;37696
Marienrachdorf;56242
Marienstatt;57629
Marienstedt;23883
Mariental;38368
Marienthal;16775
Marienthal;17309
Marienthal;19205
Marienthal;53507
Marienthal;57612
Marienthal;99192
Marienthal;99192
Marienwalde;16348
Marienwerder;16348
Marihn;17219
Maring-Noviand;54484
Marisfeld;98530
Markau;14641
Markdorf;88677
Marke;6779
Markee;14641
Markendorf;14913
Markersbach;8352
Markersdorf;2829
Markertsgrün;97514
Markgrafpieske;15528
Markgröningen;71706
Märkisch Buchholz;15748
Märkisch Wilmersdorf;14974
Markkleeberg;4416
Marklkofen;84163
Marklohe;31608
Markneukirchen;8258
Markranstädt;4420
Markritz;4720
Marksuhl;99819
Markt Berolzheim;91801
Markt Bibart;91477
Markt Einersheim;97348
Markt Erlbach;91459
Markt Indersdorf;85229
Markt Nordheim;91478
Markt Rettenbach;87733
Markt Schwaben;85570
Markt Taschendorf;91480
Markt Wald;86865
Marktbergel;91613
Marktbreit;97340
Marktgölitz;7330
Marktgraitz;96257
Marktheidenfeld;97828
Marktl;84533
Marktleugast;95352
Marktleuthen;95168
Marktoberdorf;87616
Marktoffingen;86748
Marktredwitz;95615
Marktrodach;96364
Marktschellenberg;83487
Marktschorgast;95509
Marktsteft;97342
Marktzeuln;96275
Markvippach;99195
Markwerben;6667
Marl;45768
Marl;45770
Marl;45772
Marl;49448
Marloffstein;91080
Marlow;18337
Marne;25709
Marnerdeich;25709
Marnheim;67297
Marnitz;19376
Maroldsweisach;96126
Marolterode;99994
Maroth;56271
Marpingen;66646
Marquardt;14476
Marquartstein;83250
Marquede;14715
Marsberg;34431
Marschacht;21436
Marsow;19260
Martensdorf;23972
Martensrade;24238
Martfeld;27327
Marth;37318
Martinroda;36404
Martinroda;98693
Martinsheim;97340
Martinshöhe;66894
Martinskirchen;4895
Martinsrieth;6528
Martinstein;55627
Marwitz;16727
Marxdorf;4924
Marxdorf;15306
Marxen;21439
Marxheim;86688
Marxzell;76359
Marzahna;14913
Marzahne;14778
Marzauermühle;57644
Marzhausen;57627
Marzling;85417
Masburg;56761
Maschenhorst;39340
Maselheim;88437
Maßbach;97711
Massen;3238
Massenbachhausen;74252
Massenhausen;85376
Massenhausen;98646
Masserberg;98666
Massing;84323
Maßlow;23972
Massow;17209
Maßweiler;66506
Mastershausen;56869
Masthorn;54597
Matersen;18239
Matgendorf;17168
Mattendorf;3159
Mattstedt;99510
Matzenbach;66909
Matzerath;54597
Matzlow-Garwitz;19372
Maua;7751
Maua;7751
Mauchenheim;67294
Mauden;57520
Mauderode;99735
Mauel;54649
Mauer;69256
Mauern;85419
Mauerreuten;83364
Mauerstetten;87665
Maulbeerwalde;16909
Maulbronn;75433
Maulburg;79689
Mauschbach;66500
Mauth;94151
Mauthaus;96349
Mautitz;1594
Mautitz;1594
Maxberg;91807
Maxdorf;67133
Maxhütte-Haidhof;93142
Maxsain;56244
Mayen;56727
Mayschoß;53508
Mechau;29416
Mechelgrün;8541
Mechelroda;99441
Mechelsdorf;18230
Mechernich;53894
Mechow;23909
Mechtersen;21358
Mechterstädt;99880
Meckel;54636
Meckenbach;55606
Meckenbach;55767
Meckenbeuren;88074
Meckenbeuren;88074
Meckenheim;53340
Meckenheim;67149
Meckesheim;74909
Mecklinge;49459
Medard;67744
Meddersheim;55566
Meddewade;23847
Medebach;59964
Medelby;24994
Medewitz;14827
Medewitzerhütten;14827
Medlingen;89441
Medow;17391
Meeder;96484
Meerane;8393
Meerbeck;31715
Meerbusch;40667
Meerbusch;40668
Meerbusch;40670
Meerfeld;54531
Meersburg;88709
Meesiger;17111
Meetzen;19205
Meezen;24594
Megesheim;86750
Meggerdorf;24799
Mehlbach;67735
Mehlbek;25588
Mehlingen;67678
Mehlmeisel;95694
Mehlsdorf;15936
Mehltheuer;8539
Mehmels;98634
Mehmke;29413
Mehna;4626
Mehren;54552
Mehren;57635
Mehring;54346
Mehring;84561
Mehringen;6456
Mehrow;16356
Mehrstedt;99994
Mehrstetten;72537
Meichow;17291
Meiersberg;17375
Meierstorf;19372
Meierstorf;23936
Meilbrück;54636
Meilendorf;6386
Meilitz;7806
Meinborn;56584
Meine;38527
Meinersen;38536
Meinerzhagen;58540
Meineweh;6721
Meinhard;37276
Meinheim;91802
Meiningen;98617
Meinsdorf;14913
Meisburg;54570
Meisdorf;6463
Meisenheim;55590
Meißen;1662
Meißenheim;77974
Meißner;37290
Meitingen;86405
Meitzendorf;39326
Melbeck;21406
Melchhof;54538
Melchow;16230
Meldorf;25704
Melkof;19273
Melle;49324
Melle;49326
Melle;49328
Mellen;19309
Mellenbach-Glasbach;98746
Mellensee;15806
Mellenthin;17429
Mellin;38489
Mellingen;99441
Mellinghausen;27249
Mellnitz;6918
Mellnsdorf;14913
Mellrichstadt;97638
Melpers;98634
Melsbach;56581
Melsdorf;24109
Melsungen;34212
Meltewitz;4808
Melusinental;21493
Melz;17209
Memleben;6642
Memmelsdorf;96117
Memmingen;87700
Memmingerberg;87766
Menden;58706
Menden;58708
Menden;58710
Mendhausen;98631
Mendig;56743
Mengelrode;37308
Mengen;88512
Mengerschied;55490
Mengersgereuth-Hämmern;96529
Mengerskirchen;35794
Mengkofen;84152
Menglers;36219
Menkin;17326
Menningen;54310
Menslage;49637
Menteroda;99996
Mentin;19376
Menz;16775
Menz;39175
Menzendorf;23923
Meppen;49716
Merbelsrod;98673
Merching;86504
Merchweiler;66589
Merdingen;79291
Merenberg;35799
Mering;86415
Merkelbach;57629
Merkendorf;7950
Merkendorf;91732
Merkers;36460
Merkeshausen;54636
Merklingen;89188
Merlscheid;54597
Mermuth;56283
Merschbach;54426
Merseburg;6217
Mertendorf;6618
Mertendorf;7619
Mertesdorf;54318
Mertesheim;67271
Mertingen;86690
Mertloch;56753
Merxheim;55627
Merxleben;99947
Merz;15848
Merzalben;66978
Merzdorf;4932
Merzdorf;14913
Merzen;49586
Merzenich;52399
Merzhausen;79249
Merzien;6369
Merzig;66663
Merzkirchen;54439
Merzweiler;67746
Meschede;59872
Meschendorf;18230
Meschendorf Zeltplatz;18230
Mescherin;16307
Meseberg;16775
Meseberg;39326
Meseberg;39606
Mesekenhagen;17498
Mesekow;19357
Mesendorf;16928
Mesenich;56820
Mespelbrunn;63875
Meßdorf;39624
Meßdunk;14778
Messel;64409
Messel;64409
Messenkamp;31867
Messerich;54636
Messersbacherhof;67724
Messingen;49832
Meßkirch;88605
Meßstetten;72469
Mestlin;19374
Metebach;99880
Metelen;48629
Metelsdorf;23972
Metschow;17111
Metten;94526
Mettendorf;54675
Mettenheim;67582
Mettenheim;84562
Metterich;54634
Mettingen;49497
Mettlach;66693
Mettmann;40822
Mettweiler;55777
Metzels;98639
Metzenhausen;55481
Metzingen;72555
Meudt;56414
Meura;98744
Meuro;1994
Meuro;6905
Meuschau;6217
Meusebach;7646
Meusegast;1809
Meuselbach-Schwarzmühle;98746
Meuselwitz;4610
Meuselwitz;4680
Meuspath;53520
Mewegen;17322
Meyenburg;16945
Meyn;24980
Michaelsdorf;18356
Michelau;96247
Michelau;97513
Michelbach;56288
Michelbach;57610
Michelbach an der Bilz;74544
Michelbacher Mühle;35094
Michelbacher Mühle;35094
Michelfeld;74545
Michelhölzle;78554
Micheln;6386
Michelsdorf;14797
Michelsneukirchen;93185
Michelstadt;64720
Michendorf;14552
Mickhausen;86866
Middelhagen;18586
Midlum;25938
Midlum;27632
Miehlen;56357
Miekenhagen;18239
Mielberg;24848
Miele;29303
Mielkendorf;24247
Miellen;56132
Miersdorfer Werder;15751
Miesbach;83714
Miesitz;7819
Mieste;39649
Miesterhorst;39649
Mieswarz;36404
Mietingen;88487
Mihla;99826
Milbitz b Rottenbach;7422
Milbitz b Teichel;7407
Milda;7751
Mildenau;9456
Mildenberg;16775
Mildenitz;17348
Mildstedt;25866
Mildterhof;25840
Millienhagen;18461
Milmersdorf;17268
Milow;14715
Milow;19300
Miltach;93468
Miltenberg;63897
Miltern;39590
Miltzow;18519
Milz;98631
Milzau;6246
Mimbach;56729
Mindelheim;87719
Mindelstetten;93349
Minden;32423
Minden;32425
Minden;32427
Minden;32429
Minden;54310
Minderleinsmühle;91077
Minderlittgen;54518
Minfeld;76872
Minheim;54518
Minkwitz;6729
Mintraching;93098
Minzow;17209
Mirow;17252
Misselberg;56377
Misselwarden;27632
Missen;3205
Missen-Wilhams;87547
Mistelbach;95511
Mistelgau;95490
Mistorf;18276
Mittelbach;9224
Mittelbach;9224
Mittelbiberach;88441
Mittelbrunn;66851
Mitteleschenbach;91734
Mittelfischbach;56370
Mittelfischbach;71560
Mittelhausen;6542
Mittelhausen;99195
Mittelhausen;99195
Mittelherwigsdorf;2763
Mittelhof;57537
Mittelmühle;74597
Mittelndorf;1855
Mittelneufnach;86868
Mittelnkirchen;21720
Mittelpöllnitz;7819
Mittelreidenbach;55758
Mittelschieda;95158
Mittelschmalkalden;98590
Mittelsinn;97785
Mittelsömmern;99955
Mittelstenahe;21770
Mittelstetten;82293
Mittelstille;98574
Mittelstrimmig;56858
Mittenaar;35756
Mittenwald;82481
Mittenwalde;15749
Mittenwalde;17268
Mitterfels;94360
Mittergars;83559
Mitterleiten;83364
Mitterskirchen;84335
Mitterstatt;83364
Mitterteich;95666
Mittweida;9648
Mittweide;15848
Mitwitz;96268
Mixdorf;15299
Mlode;3205
Möbiskruge;15890
Mochau;4720
Mochau;6888
Mochow;15913
Möckern;7646
Möckern;39291
Möckers;98590
Möckmühl;74219
Mockrehna;4838
Modautal;64397
Modenbacherhof;76829
Mödingen;89426
Moers;47441
Moers;47443
Moers;47445
Moers;47447
Mögelin;14715
Mogendorf;56424
Mögglingen;73563
Möglenz;4931
Möglingen;71696
Möhlau;6791
Mohlsdorf;7987
Möhnesee;59519
Möhnsen;21493
Mohorn;1723
Möhrenbach;98708
Möhrendorf;91096
Mohrenmühle;56332
Mohrkirch;24405
Moidentin;23966
Moisall;18246
Moisburg;21647
Molau;6618
Molbergen;49696
Mölbis;4579
Molchow;16827
Molfsee;24113
Molkenberg;14715
Möllenbeck;17237
Möllenbeck;19300
Möllendorf;6343
Möllendorf;39579
Möllenhagen;17219
Möllensdorf;6869
Möllensee;15345
Mollenstorf;17217
Möllern;6628
Mölln;17091
Mölln;23879
Mollnitz;19348
Molmerswende;6543
Molsberg;56414
Molschleben;99869
Mölschow;17449
Molsdorf;99192
Molsdorf;99192
Mölsheim;67591
Moltenow;18246
Moltenow;19069
Moltkestein;24797
Moltow;23996
Moltzow;17194
Molzhain;57520
Mömbris;63776
Mömlingen;63853
Mommenheim;55278
Mönchberg;63933
Mönchengladbach;41061
Mönchengladbach;41063
Mönchengladbach;41065
Mönchengladbach;41066
Mönchengladbach;41068
Mönchengladbach;41069
Mönchengladbach;41169
Mönchengladbach;41179
Mönchengladbach;41189
Mönchengladbach;41199
Mönchengladbach;41236
Mönchengladbach;41238
Mönchengladbach;41239
Mönchenhöfe;6926
Mönchenholzhausen;99198
Mönchhagen;18182
Mönchpfiffel-Nikolausrieth;6556
Mönchsdeggingen;86751
Mönchshof;97980
Mönchsroth;91614
Mönchweiler;78087
Mönchwinkel;15528
Monheim;40789
Monheim;86653
Mönkeberg;24248
Mönkebude;17375
Mönkhagen;23619
Mönkloh;24576
Monreal;56729
Monschau;52156
Monsheim;67590
Mönsheim;71297
Monstab;4617
Montabaur;56410
Möntenich;56754
Montforterhof;67826
Monzelfeld;54472
Monzernheim;55234
Monzingen;55569
Moor;23948
Moordiek;25597
Moordorf;25597
Moorenweis;82272
Moorgrund;36433
Moorhusen;25554
Moormerland;26802
Moorrege;25436
Moorweg;26427
Moos;78345
Moos;82390
Moos;83739
Moos;94554
Moosach;85665
Moosbach;92709
Moosburg;85368
Moosburg;88422
Moosen;83565
Mooshäusl;83379
Moosinning;85452
Moosmühle;85376
Moospoint;83379
Moosthenning;84164
Moosweber;83739
Mooswiese;73565
Moraas;19230
Morbach;54497
Mörbach;99735
Mörel;24594
Morest;23743
Mörfelden-Walldorf;64546
Morgenitz;17406
Morgenröthe-Rautenkranz;8262
Moringen;37186
Möringen;39599
Moritz;39264
Moritzburg;1468
Moritzheim;56865
Morl;6193
Mörlen;57583
Mörlenbach;69509
Mörnsheim;91804
Morsbach;51597
Mörsbach;57629
Mörschbach;55494
Morscheid;54317
Morschen;34326
Morschheim;67294
Mörschied;55758
Mörsdorf;7646
Mörsdorf;56290
Mörsfeld;67808
Morshausen;56283
Morsleben;39343
Mörstadt;67591
Morsum;27321
Mörtitz;4838
Morungen;6528
Morxdorf;6918
Mörz;14806
Mosbach;74821
Mosbruch;56767
Moschheim;56424
Möschwitz;8543
Mose;39326
Moselkern;56254
Möser;39291
Mossautal;64756
Moßbach;7907
Mössingen;72116
Mösthinsdorf;6193
Möthlitz;14715
Möthlow;14715
Motrich;19322
Motten;97786
Motterwitz;4668
Möttingen;86753
Motzen;15741
Mötzing;93099
Mötzingen;71159
Motzlar;36419
Mötzow;14778
Moxa;7381
Mözen;23795
Much;53804
Mucheln;24238
Mücheln;6249
Muchelndorf;25361
Muchow;19300
Mücka;2906
Mücke;35325
Mückeln;54558
Mückendorf;15837
Mückenfang;23974
Mückenhof;67685
Mückenmühle;67685
Muckwar;3229
Mudau;69427
Müden;38539
Müden;56254
Mudenbach;57614
Mudersbach;57555
Mudershausen;65623
Mügeln;4769
Mügeln;6928
Müggendorf;19322
Muggensturm;76461
Muggerkuhl;19348
Müglitz;1778
Müglitztal;1809
Mühbrook;24582
Mühl Rosin;18276
Mühlacker;75417
Mühlanger;6888
Mühlau;9241
Mühlbeck;6774
Mühlberg;4931
Mühlberg;99869
Mühlbusch;67816
Mühldorf;84453
Mühlen Eichsen;19205
Mühlenbach;77796
Mühlenbarbek;25548
Mühlenbeck;16567
Mühlenbeck;19075
Mühlenrade;21493
Mühlenthal;57587
Mühlhausen;69242
Mühlhausen;73347
Mühlhausen;92360
Mühlhausen;96172
Mühlhausen;99974
Mühlhausen-Ehingen;78259
Mühlheim;63165
Mühlheim;78570
Mühlholz;73453
Mühlhölzle;73574
Mühlingen;78357
Mühlpfad;56291
Mühlpoint;83364
Mühlscheid;54427
Mühlstedt;6862
Mühltal;64367
Mühltroff;7919
Mühlwand;8468
Muhr;91735
Mülbach;54636
Mulda;9619
Muldenstein;6804
Mulfingen;73575
Mulfingen;74673
Mülheim;45468
Mülheim;45470
Mülheim;45472
Mülheim;45473
Mülheim;45475
Mülheim;45476
Mülheim;45478
Mülheim;45479
Mülheim;45481
Mülheim;54486
Mülheim-Kärlich;56218
Müllenbach;53520
Müllenbach;56761
Müllheim;79379
Müllrose;15299
Mülsen;8132
Mulsum;27632
Mülverstedt;99947
Münchberg;95213
Müncheberg;15374
Münchehofe;15748
Münchehofe, Mark;15366
München;80331
München;80333
München;80335
München;80336
München;80337
München;80339
München;80469
München;80538
München;80539
München;80634
München;80636
München;80637
München;80638
München;80639
München;80686
München;80687
München;80689
München;80796
München;80797
München;80798
München;80799
München;80801
München;80802
München;80803
München;80804
München;80805
München;80807
München;80809
München;80933
München;80935
München;80937
München;80939
München;80992
München;80993
München;80995
München;80997
München;80999
München;81241
München;81243
München;81245
München;81247
München;81249
München;81369
München;81371
München;81373
München;81375
München;81377
München;81379
München;81475
München;81476
München;81477
München;81479
München;81539
München;81541
München;81543
München;81545
München;81547
München;81549
München;81667
München;81669
München;81671
München;81673
München;81675
München;81677
München;81679
München;81735
München;81737
München;81739
München;81825
München;81827
München;81829
München;81925
München;81927
München;81929
Münchenbernsdorf;7589
München-Flughafen;85356
München-Flughafen;85356
Münchengosserstädt;99510
Münchenlohra;99759
Münchenroda;7751
Münchenroda;7751
Münchhausen;3238
Münchhausen;35117
Münchhofe;15868
Münchsmünster;85126
Münchsteinach;91481
Münchwald;55595
Münchweiler;66981
Münchweiler;67728
Münchweiler;76857
Mundelsheim;74395
Munderkingen;89597
Mündersbach;56271
Mundhardterhof;67098
Münk;56729
Munkbrarup;24960
Münnerstadt;97702
Munningen;86754
Munschwitz;7338
Münsing;82541
Münsingen;72525
Munster;29633
Münster;48143
Münster;48145
Münster;48147
Münster;48149
Münster;48151
Münster;48153
Münster;48155
Münster;48157
Münster;48159
Münster;48161
Münster;48163
Münster;48165
Münster;48167
Münster;64839
Münster;86692
Münsterappel;67822
Münsterdorf;25587
Münsterhausen;86505
Münstermaifeld;56294
Münster-Sarmsheim;55424
Münsterschwarzach Abtei;97359
Münstertal;79244
Münzenberg;35516
Mupperg;96524
Murchin;17390
Murg;79730
Mürlenbach;54570
Murnau;82418
Mürow;16278
Mürowsche Kavelheide;16306
Murr;71711
Murrhardt;71540
Müsch;53533
Muschau;4668
Müschen;3096
Müschenbach;57629
Muschwitz;6679
Müsselmow;19412
Müssen;21516
Mustin;19406
Mustin;23911
Musweiler;54534
Mutlangen;73557
Muttenhaus;88373
Mutterschied;55469
Mutterstadt;67112
Mützdorf;14823
Mützel;39307
Mützenich;54608
Mützlitz;14715
Mutzschen;4688
Mutzschwitz;1623
Muxerath;54673
Mylau;8499
Nabburg;92507
Nachrodt-Wiblingwerde;58769
Nachrodt-Wiblingwerde;58769
Nächst Neuendorf;15806
Nachterstedt;6469
Nachtsheim;56729
Nack;55234
Nackel;16845
Nackenheim;55299
Nackterhof;67311
Nadrensee;17329
Nagel;95697
Nägelstedt;99958
Nagold;72202
Nagoldtal;75399
Nahe;23866
Näherhof;73054
Nahmitz;14797
Nahrendorf;21369
Nahrstedt;39599
Nahwinden;99326
Naila;95119
Nakenstorf;23992
Nalbach;66809
Namborn;66640
Nandlstadt;85405
Nannhausen;55469
Nanzdietschweiler;66909
Narsdorf;4657
Naschendorf;23936
Nasingen;54673
Nassau;56377
Nasseböhla;1561
Nassenfels;85128
Nassenheide;16515
Naßkamping;94565
Nastätten;56355
Natendorf;29587
Nattenheim;54636
Nattheim;89564
Nauberg;4668
Naudin;23996
Nauen;14641
Nauendorf;6193
Nauendorf;99448
Naugarten;17291
Nauheim;64569
Naumburg;6618
Naumburg;34311
Naundorf;1877
Naundorf;3226
Naundorf;4617
Naundorf;4769
Naundorf;4936
Naundorf;6918
Naunheim;56753
Naunhof;4683
Nauort;56237
Naurath;54340
Naurath;54426
Nauroth;57583
Nausiß;99631
Nausitz;6571
Nausnitz;7616
Nauwalde;1609
Nazza;99826
Nebel;25946
Nebelin;19348
Nebelschütz;1920
Nebra;6642
Neckarbischofsheim;74924
Neckargemünd;69151
Neckargerach;69437
Neckarsteinach;69239
Neckarsulm;74172
Neckartailfingen;72666
Neckartenzlingen;72654
Neckarwestheim;74382
Neckarzimmern;74865
Neddemin;17039
Nedderhagen;23948
Nedlitz;39264
Nedlitz;39291
Neef;56858
Neehausen;6295
Neenstetten;89189
Neese;19300
Neese Ausbau;19300
Neetze;21398
Neetzka;17349
Neetzow;17391
Negenborn;37643
Negenharrie;24625
Negernbötel;23795
Nehlitz;6193
Nehms;23813
Nehmten;24326
Nehren;56820
Nehren;72147
Neichen;54552
Neidenbach;54657
Neidenberga;7338
Neidenfels;67468
Neidenstein;74933
Neidhardtsthal;8318
Neidhartshausen;36452
Neidhof;54538
Neidlingen;73272
Neindorf;39387
Neinstedt;6502
Neißeaue;2829
Neitersen;57638
Nellingen;89191
Nempitz;6231
Nemsdorf-Göhrendorf;6268
Nenndorf;26556
Nennhausen;14715
Nennslingen;91790
Nentershausen;36214
Nentershausen;56412
Neperstorf;19417
Neppermin;17429
Nepperwitz;4828
Nerchau;4685
Nerdin;17391
Nerdlen;54552
Nerenstetten;89129
Neresheim;73450
Neritz;23843
Nermsdorf;99439
Neroth;54570
Nersingen;89278
Nerzweiler;67749
Neschholz;14806
Neschow;19217
Neschwitz;2699
Nesow;19217
Nessa;6682
Nesselwang;87484
Netphen;57250
Nettelsee;24250
Nettemühle;56753
Nettersheim;53947
Nettetal;41334
Nettgau;38489
Netzbach;65623
Netzeband;16818
Netzen;14797
Netzow;19339
Netzschkau;8491
Neu Babst;23992
Neu Bartelshagen;18442
Neu Bleckede;19273
Neu Bochow;14550
Neu Boltenhagen;17509
Neu Darchau;29490
Neu Degtow;23936
